GSvolume_pa_composition_average,ML pred ASR barrier (eV),IsFBlock_composition_average,IsRareEarth_composition_average,NdUnfilled_composition_average,BCCfermi_composition_average,ICSDVolume_composition_average,AtomicVolume_arithmetic_average,CovalentRadii_composition_average,GSenergy_pa_composition_average,ThermalExpansionCoefficient_arithmetic_average,valence_composition_average,HeatFusion_composition_average,HHIr_composition_average,GSestBCClatcnt_composition_average,HeatFusion_arithmetic_average,ElectricalConductivity_difference,ThermalConductivity_arithmetic_average,Electrolyte class_2,HHIr_arithmetic_average,phi_arithmetic_average,CovalentRadius_composition_average,ElectricalConductivity_composition_average,phi_difference,GSestFCClatcnt_composition_average,IonizationEnergy_composition_average,SpaceGroupNumber_composition_average,AtomicRadii_composition_average,BoilingT_arithmetic_average,SecondIonizationEnergy_arithmetic_average,ShearModulus_composition_average,Electrolyte class_0,HeatCapacityMolar_composition_average,Electrolyte class_3,HHIp_composition_average,BCCenergy_pa_composition_average,NUnfilled_arithmetic_average,ElasticModulus_composition_average,ElectronAffinity_arithmetic_average,ElectricalConductivity_arithmetic_average,Polarizability_composition_average,n_ws^third_composition_average,ThermalConductivity_composition_average,MeltingT_composition_average,ThermalExpansionCoefficient_min_value,BCCvolume_padiff_composition_average,FirstIonizationEnergy_composition_average,Density_max_value,HeatCapacityMolar_arithmetic_average,NUnfilled_composition_average
19.52683673469388,1.134531099,0.0,0.0,0.7142857142857142,3.416132312653061,24.559183673469384,3739.588361359413,1.0514285714285714,-4.821274933775509,166.54,2.3673469387755097,4.93265306122449,1351.020408163265,3.106377522244898,13.47,15.099999999999998,50.51348,0.0,3140.0,3.28,106.63265306122447,3.663265306122448,2.78,3.913790429142857,1049.6265306122448,91.14285714285714,1.1135102040816325,2716.82,18.5362,15.73673469387755,1.0,28.213061224489795,0.0,1571.428571428571,-3.4005947934693874,3.2,42.836734693877546,55.81999999999999,7.699999999999999,9.517551020408163,0.5044897959183673,22.198408163265302,599.8367346938775,7.3,-1.058877551020408,10.881167265306122,8900.0,26.3916,1.9591836734693877
21.98483333333333,1.258738249,0.0,0.0,0.7666666666666666,3.415814430555556,26.608888888888888,3745.731015769601,1.112888888888889,-4.591348627722223,167.4,2.2444444444444445,5.201177777777778,1465.5555555555557,3.2196281809666667,9.7492,17.0,28.46748,0.0,3200.0,2.964,113.66666666666666,4.046666666666666,2.78,4.056477317977778,1006.7144444444444,98.64444444444445,1.1901444444444444,2074.62,18.3336,16.03333333333333,0.0,28.095888888888886,0.0,1711.1111111111113,-3.2928784827777777,3.4,44.33333333333333,57.44,4.619999999999999,11.084444444444443,0.5516666666666667,23.56488888888889,632.9822222222223,10.0,-0.9838333333333332,10.439127,9780.0,26.6596,1.9111111111111112
20.068800000000003,1.263385158,0.0,0.0,0.8,3.4673047528,25.093,4677.970250109028,1.0656,-4.89612454005,208.675,2.8,4.332199999999999,1032.0,3.13208442033,7.422499999999999,28.5,74.71685000000001,0.0,1425.0,2.45,108.61,3.085,2.61,3.94617909126,1041.649,98.76,1.1277,1781.025,18.293,17.404999999999998,1.0,28.23939,0.0,1389.0,-3.5176896595,1.5,44.88,-10.725,11.325,9.961533333333,0.5169999999999999,21.69644,596.23,11.8,-1.0745,10.80265776,7874.0,27.11925,2.0
20.2041,1.086717546,0.0,0.0,0.76,3.4867724948000003,25.237,3747.5927317193,1.0683,-4.839937716050001,173.36,2.77,4.227009999999999,1038.0,3.1407683638100004,6.5962,28.5,76.09347999999999,0.0,1540.0,2.74,108.71,3.007,2.61,3.95712017443,1039.639,97.86,1.1318899999999998,1893.82,18.4082,16.584999999999997,1.0,28.25579,0.0,1398.0,-3.4613738671000003,2.2,42.91,-2.7800000000000047,9.739999999999998,9.974033333333,0.511,21.71044,582.4175,11.8,-1.0728,10.78149736,7874.0,27.0434,2.01
22.978,1.44558847,0.1,0.1,1.3,3.174698026,27.55,4675.932078652993,1.116,-4.544984996,204.4,2.6,3.483,1210.0,3.2829479104000003,6.6525,9.8,27.56685,0.0,1825.0,2.6075,116.2,1.82,2.61,4.136255178000001,1017.63,95.3,1.1886,2250.025,18.038,10.579999999999998,1.0,28.4448,0.0,2090.0,-3.154622002,7.0,26.700000000000003,40.775,3.85,12.2212,0.458,13.00044,521.08,5.2,-1.102,10.5572728,7874.0,27.372000000000003,3.8
19.476020408163265,1.082027388,0.0,0.0,0.693877551020408,3.49236039,24.50612244897959,3739.088110900911,1.0506122448979591,-4.836637918265305,166.04,2.387755102040816,5.085306122448979,1279.5918367346935,3.103138075734694,14.966,15.099999999999998,67.37347999999999,0.0,2440.0,3.4,106.42857142857142,3.881632653061224,2.78,3.9097089822857134,1050.0530612244895,91.14285714285714,1.112142857142857,2695.82,18.9644,15.36938775510204,1.0,28.20204081632653,0.0,1446.938775510204,-3.4159577779591834,3.0,47.28571428571428,55.81999999999999,9.84,9.458367346938775,0.5071428571428571,23.91881632653061,602.8163265306122,4.8,-1.058877551020408,10.887975020408163,10280.0,26.2836,1.9387755102040811
20.4178,1.27479556,0.0,0.0,0.72,3.386024054,25.336,3739.588361359413,1.0702,-4.7874217846,166.54,2.42,4.928599999999999,1344.0,3.1456782906400003,13.47,15.099999999999998,50.51348,0.0,3140.0,3.28,108.92,3.512,2.78,3.96330629454,1038.718,94.6,1.1354,2716.82,18.5362,15.66,0.0,28.216,0.0,1586.0,-3.3971612986000004,3.2,42.3,55.81999999999999,7.699999999999999,10.1392,0.511,21.72644,608.6999999999999,7.3,-1.0416,10.768205,8900.0,26.3916,1.94
20.4081,1.17159768,0.0,0.0,0.7,3.3798024801999995,25.324,3739.588361359413,1.07,-4.7633198803,166.54,2.3600000000000003,4.976399999999999,1370.0,3.14482795802,13.47,15.099999999999998,50.51348,0.0,3140.0,3.28,108.8,3.646,2.78,3.96223494256,1038.692,93.9,1.1356400000000002,2716.82,18.5362,15.52,1.0,28.2102,0.0,1600.0,-3.3710533428,3.2,42.24,55.81999999999999,7.699999999999999,10.1212,0.5106,22.122440000000005,607.84,7.3,-1.0376999999999998,10.7677772,8900.0,26.3916,1.92
20.4081,1.245413458,0.0,0.0,0.7,3.3798024801999995,25.324,3739.588361359413,1.07,-4.7633198803,166.54,2.3600000000000003,4.976399999999999,1370.0,3.14482795802,13.47,15.099999999999998,50.51348,1.0,3140.0,3.28,108.8,3.646,2.78,3.96223494256,1038.692,93.9,1.1356400000000002,2716.82,18.5362,15.52,0.0,28.2102,0.0,1600.0,-3.3710533428,3.2,42.24,55.81999999999999,7.699999999999999,10.1212,0.5106,22.122440000000005,607.84,7.3,-1.0376999999999998,10.7677772,8900.0,26.3916,1.92
20.44318,1.242322278,0.0,0.0,0.7399999999999999,3.37880082916,25.4072,3740.989796947069,1.07092,-4.6951635965800005,167.08,2.332,4.65724,1271.6,3.146371692132,10.29,16.4,42.93348,0.0,2280.0,3.12,108.768,3.5827999999999998,2.78,3.96417992566,1038.5452,93.34,1.13772,2334.02,18.2322,15.552,1.0,28.22692,0.0,1527.6,-3.3010823082,3.6,42.284,40.24,6.679999999999999,10.1256,0.5052,21.62204,589.108,10.0,-1.03826,10.76919364,8900.0,26.5756,1.94
